tyden,vek,umrti
2020-W52,0-29,24
2020-W52,30-39,27
2020-W52,40-49,69
2020-W52,50-59,168
2020-W52,60-69,428
2020-W52,70-79,976
2020-W52,80-129,1522
2020-W53,80-129,1703
2020-W53,70-79,1023
2020-W53,60-69,497
2020-W53,0-29,25
2020-W53,40-49,79
2020-W53,30-39,29
2020-W53,50-59,162
2021-W01,80-129,1801
2021-W01,70-79,1198
2021-W01,60-69,507
2021-W01,0-29,18
2021-W01,40-49,93
2021-W01,30-39,42
2021-W01,50-59,187
2021-W02,0-29,20
2021-W02,30-39,33
2021-W02,40-49,82
2021-W02,50-59,199
2021-W02,60-69,567
2021-W02,70-79,1155
2021-W02,80-129,1695
2021-W03,60-69,554
2021-W03,70-79,1093
2021-W03,80-129,1633
2021-W03,40-49,78
2021-W03,30-39,26
2021-W03,0-29,22
2021-W03,50-59,192
2021-W04,0-29,19
2021-W04,30-39,35
2021-W04,40-49,73
2021-W04,50-59,188
2021-W04,60-69,501
2021-W04,70-79,1090
2021-W04,80-129,1543
2021-W05,70-79,1006
2021-W05,60-69,537
2021-W05,50-59,166
2021-W05,80-129,1446
2021-W05,30-39,21
2021-W05,0-29,22
2021-W05,40-49,76
2021-W06,70-79,1096
2021-W06,60-69,536
2021-W06,50-59,187
2021-W06,80-129,1478
2021-W06,30-39,31
2021-W06,0-29,26
2021-W06,40-49,89
2021-W07,0-29,30
2021-W07,30-39,22
2021-W07,40-49,97
2021-W07,50-59,212
2021-W07,60-69,575
2021-W07,70-79,1114
2021-W07,80-129,1422
2021-W08,80-129,1499
2021-W08,70-79,1217
2021-W08,60-69,553
2021-W08,50-59,202
2021-W08,30-39,38
2021-W08,40-49,103
2021-W08,0-29,19
2021-W09,0-29,19
2021-W09,30-39,30
2021-W09,40-49,109
2021-W09,50-59,229
2021-W09,60-69,627
2021-W09,70-79,1328
2021-W09,80-129,1577
2021-W10,80-129,1592
2021-W10,70-79,1330
2021-W10,60-69,716
2021-W10,0-29,22
2021-W10,40-49,107
2021-W10,30-39,31
2021-W10,50-59,230
2021-W11,70-79,1270
2021-W11,80-129,1505
2021-W11,60-69,689
2021-W11,0-29,16
2021-W11,40-49,96
2021-W11,30-39,23
2021-W11,50-59,236
2021-W12,0-29,17
2021-W12,30-39,29
2021-W12,40-49,99
2021-W12,50-59,212
2021-W12,60-69,647
2021-W12,70-79,1191
2021-W12,80-129,1275
2021-W13,70-79,1113
2021-W13,80-129,1290
2021-W13,60-69,632
2021-W13,50-59,203
2021-W13,40-49,106
2021-W13,30-39,23
2021-W13,0-29,22
2021-W14,0-29,16
2021-W14,30-39,26
2021-W14,40-49,88
2021-W14,50-59,187
2021-W14,60-69,566
2021-W14,70-79,975
2021-W14,80-129,1089
2021-W15,70-79,833
2021-W15,60-69,453
2021-W15,50-59,192
2021-W15,80-129,1042
2021-W15,30-39,24
2021-W15,0-29,14
2021-W15,40-49,81
2021-W16,70-79,779
2021-W16,60-69,456
2021-W16,50-59,161
2021-W16,80-129,999
2021-W16,30-39,29
