datum,poradi_davky,vekova_skupina,pohlavi,pocet_davek
2020-12-27,1,18-24,Z,25
2020-12-27,1,18-24,M,23
2020-12-27,1,18-24,,1
2020-12-27,1,18-24,,4
2020-12-27,1,25-29,Z,78
2020-12-27,1,25-29,M,36
2020-12-27,1,25-29,,1
2020-12-27,1,30-34,Z,67
2020-12-27,1,30-34,M,48
2020-12-27,1,35-39,Z,76
2020-12-27,1,35-39,M,45
2020-12-27,1,40-44,Z,118
2020-12-27,1,40-44,M,59
2020-12-27,1,40-44,,1
2020-12-27,1,45-49,Z,126
2020-12-27,1,45-49,M,42
2020-12-27,1,50-54,Z,102
2020-12-27,1,50-54,M,45
2020-12-27,1,50-54,,1
2020-12-27,1,55-59,Z,74
2020-12-27,1,55-59,M,34
2020-12-27,1,55-59,,2
2020-12-27,1,60-64,Z,61
2020-12-27,1,60-64,M,37
2020-12-27,1,60-64,,1
2020-12-27,1,65-69,Z,44
2020-12-27,1,65-69,M,37
2020-12-27,1,70-74,Z,25
2020-12-27,1,70-74,M,26
2020-12-27,1,70-74,,1
2020-12-27,1,75-79,Z,13
2020-12-27,1,75-79,M,7
2020-12-27,1,80+,Z,11
2020-12-27,1,80+,M,15
2020-12-28,1,18-24,Z,56
2020-12-28,1,18-24,M,20
2020-12-28,1,18-24,,1
2020-12-28,1,25-29,Z,104
2020-12-28,1,25-29,M,88
2020-12-28,1,25-29,,2
2020-12-28,1,30-34,Z,117
2020-12-28,1,30-34,M,108
2020-12-28,1,30-34,,4
2020-12-28,1,35-39,Z,131
2020-12-28,1,35-39,M,85
2020-12-28,1,35-39,,1
2020-12-28,1,40-44,Z,206
2020-12-28,1,40-44,M,90
2020-12-28,1,45-49,Z,227
2020-12-28,1,45-49,M,97
2020-12-28,1,50-54,Z,179
2020-12-28,1,50-54,M,61
2020-12-28,1,55-59,Z,167
2020-12-28,1,55-59,M,37
2020-12-28,1,60-64,Z,133
2020-12-28,1,60-64,M,49
2020-12-28,1,65-69,Z,75
2020-12-28,1,65-69,M,60
2020-12-28,1,70-74,Z,31
2020-12-28,1,70-74,M,49
2020-12-28,1,75-79,Z,14
2020-12-28,1,75-79,M,11
2020-12-28,1,80+,Z,67
2020-12-28,1,80+,M,33
2020-12-29,1,16-17,M,1
2020-12-29,1,18-24,Z,71
2020-12-29,1,18-24,M,34
2020-12-29,1,18-24,,2
2020-12-29,1,25-29,Z,196
2020-12-29,1,25-29,M,106
2020-12-29,1,25-29,,4
2020-12-29,1,30-34,Z,152
2020-12-29,1,30-34,M,125
2020-12-29,1,35-39,Z,207
2020-12-29,1,35-39,M,118
2020-12-29,1,40-44,Z,324
2020-12-29,1,40-44,M,107
2020-12-29,1,40-44,,1
2020-12-29,1,45-49,Z,365
2020-12-29,1,45-49,M,96
2020-12-29,1,50-54,Z,277
2020-12-29,1,50-54,M,82
2020-12-29,1,50-54,,1
2020-12-29,1,50-54,,1
2020-12-29,1,55-59,Z,276
2020-12-29,1,55-59,M,62
2020-12-29,1,60-64,Z,163
2020-12-29,1,60-64,M,82
2020-12-29,1,65-69,Z,88
2020-12-29,1,65-69,M,89
2020-12-29,1,70-74,Z,57
2020-12-29,1,70-74,M,44
2020-12-29,1,70-74,,1
2020-12-29,1,75-79,Z,38
2020-12-29,1,75-79,M,18
2020-12-29,1,80+,Z,224
2020-12-29,1,80+,M,58
2020-12-29,2,60-64,M,1
2020-12-30,1,18-24,Z,74
2020-12-30,1,18-24,M,38
2020-12-30,1,18-24,,4
2020-12-30,1,25-29,Z,201
2020-12-30,1,25-29,M,109
2020-12-30,1,25-29,,3
2020-12-30,1,30-34,Z,148
2020-12-30,1,30-34,M,115
2020-12-30,1,35-39,Z,204
2020-12-30,1,35-39,M,113
2020-12-30,1,35-39,,1
2020-12-30,1,40-44,Z,371
2020-12-30,1,40-44,M,125
2020-12-30,1,45-49,Z,351
2020-12-30,1,45-49,M,102
2020-12-30,1,50-54,Z,285
2020-12-30,1,50-54,M,84
2020-12-30,1,50-54,,1
2020-12-30,1,55-59,Z,293
2020-12-30,1,55-59,M,86
2020-12-30,1,60-64,Z,203
