tyden,vek,poradi_davky,pocet_davek
2020-W52,0-29,1,144
2020-W52,30-39,1,233
2020-W52,40-49,1,338
2020-W52,50-59,1,274
2020-W52,60-69,1,183
2020-W52,70-79,1,85
2020-W52,80-129,1,30
2020-W53,80-129,1,761
2020-W53,70-79,1,698
2020-W53,60-69,2,2
2020-W53,60-69,1,1755
2020-W53,50-59,1,2750
2020-W53,40-49,1,3494
2020-W53,30-39,1,2289
2020-W53,0-29,1,1333
2021-W01,80-129,2,1
2021-W01,80-129,1,1842
2021-W01,70-79,1,2008
2021-W01,60-69,2,1
2021-W01,60-69,1,4971
2021-W01,50-59,2,3
2021-W01,0-29,2,1
2021-W01,40-49,1,9657
2021-W01,30-39,2,2
2021-W01,30-39,1,5749
2021-W01,0-29,1,3275
2021-W01,50-59,1,8281
2021-W02,60-69,1,9562
2021-W02,80-129,2,5
2021-W02,80-129,1,12377
2021-W02,70-79,2,30
2021-W02,60-69,2,81
2021-W02,50-59,2,147
2021-W02,70-79,1,5944
2021-W02,40-49,2,177
2021-W02,40-49,1,16010
2021-W02,30-39,2,128
2021-W02,50-59,1,14141
2021-W02,30-39,1,8897
2021-W02,0-29,2,81
2021-W02,0-29,1,5144
2021-W03,80-129,1,38706
2021-W03,70-79,2,654
2021-W03,70-79,1,4785
2021-W03,60-69,2,1623
2021-W03,60-69,1,6594
2021-W03,50-59,2,2502
2021-W03,80-129,2,684
2021-W03,40-49,2,3116
2021-W03,40-49,1,8972
2021-W03,30-39,2,1993
2021-W03,30-39,1,4355
2021-W03,0-29,2,1178
2021-W03,0-29,1,2439
2021-W03,50-59,1,8958
2021-W04,80-129,2,1017
2021-W04,80-129,1,27615
2021-W04,70-79,2,1310
2021-W04,70-79,1,2128
2021-W04,60-69,2,3853
2021-W04,60-69,1,2998
2021-W04,50-59,2,6628
2021-W04,50-59,1,3868
2021-W04,40-49,1,3881
2021-W04,30-39,2,4626
2021-W04,30-39,1,2043
2021-W04,0-29,2,2538
2021-W04,0-29,1,1421
2021-W04,40-49,2,7794
2021-W05,60-69,1,1568
2021-W05,80-129,2,7925
2021-W05,80-129,1,15890
2021-W05,70-79,2,4292
2021-W05,60-69,2,7769
2021-W05,50-59,2,12006
2021-W05,70-79,1,1358
